school_emis_code,school_name,school_latitude,school_longitude
35210637,GGPS KOT WADAWA SINGH BADIAN ROAD,31.45272037,74.42012013
35210368,GPS REHNUMA ARIF ABAD,31.49283671,74.40655729
35210531,GGPS LALLOH,31.49282879,74.58199304
35210043,GHSS JALLO MORE LAHORE CANTT,31.5954649,74.5036222
35220544,GGES MC JUNIOR MODEL BHATI GATE,31.57861497,74.30881801
35220621,GHS CDG ISLAM NAGAR SHAHDARA,31.5634398,74.4093294
35220104,GES RAMKOT (SHEIKH DAKOT),31.3753131,74.1969726
35210118,GES KOREY WALTON,31.4889319,74.3719721
35210462,GGPS MUMTAZ NABI PURA GULBERG-III,31.52457667,74.3567625
35210730,GGPS THEH NASIB ABAD,31.35382408,74.37563946
35220642,GGPS KHAMBA,31.43628388,74.2542856
35210648,GGPS RAKH TARAH,31.55752568,74.44831694
35210080,GGHS SHALIMAR TOWN LAHORE,31.5885156,74.3950002
35210008,GHS SULEMANIA PUBLIC SAMANABAD,31.53322591,74.30527624
35220581,GGES CDG BEGUM KOT SHAHDARA,31.6084478,74.267587
35220234,GPS MANGA MANDI,31.30118365,74.06592563
35210714,GGPS KHALID ABAD,31.37629814,74.3676475
35210471,GGES DHALLA KOT LAKHPAT,31.46573412,74.33863227
35210339,GPS GHANAKKAR,31.39445286,74.38978376
35210009,GHS PAKISTAN MODEL REHMAN PURA,31.52249938,74.31798555
35220213,GES WARIS COLONY LAHORE,31.494883,74.2673167
35210665,GGPS ENO BHATTI,31.64538454,74.37698979
35220013,GHS JIA BAGGA,31.32828595,74.29180762
35220524,GMMS BILAL UR REHMAN,31.59855564,74.36183162
35220198,GPS NAWAN PIND,31.4686055,74.266433
35210371,GPS BUKSHISH PURA,31.45856088,74.41813018
35220095,GGHS SAEEDA ISLAMIA WASSAN PURA SCHEME NO 2. LHR CANTT.,31.59219726,74.34913488
35210288,GPS BHATTE SULTAN PURA,31.58063061,74.52178331
35210579,GGES CENRALMODEL CGE COLONY WAHDATROAD LAHORE,31.5102722,74.30607663
35220410,GGPS JAVED PARK,31.64927877,74.29547838
35210241,GPS PAK MASKEEN PURA,31.56752537,74.39345981
35210305,GPS SHAH SHAHEED,31.600487,74.48458342
35220485,GMMS JAMIA RAHIMIA MUSARRAT COLONY LAHORE,31.54569798,74.28600105
35210448,GPS NASIB ABAD,31.35385931,74.37567651
35220247,GPS MANAGA QILA SHER SINGH,31.31049934,74.05541983
35210196,GPS DARAS BARY MIAN,31.57555708,74.37855855
