License No,Store Name,Store Address,Town Name,Location
116AST092012,Medizone Pharmacy,202- G.T Road Baghbanpura Lahore,SHALAMAR TOWN,"31.582341615211686,74.37676004935862"
120BST102012,Ali Medical Store,Main China Road China Scheme Shadbagh lahore,SHALAMAR TOWN,"31.590457396941417,74.35593239545624"
121BST102012,Mazhar Medicose,"Gulshan-e-Shahbaz Park Basharat Road, Multabi Colony Baghbanpura Lahore",SHALAMAR TOWN,"31.5924875790674,74.37870931493664"
122AST092012,Hafiz Pharmacy and Genaral Store,Shop no. 01 Main Ghoray Shah Roadbehind UET LAHORE,SHALAMAR TOWN,"31.583404492520543,74.35252904470366"
123BST092012,Umar Medical and General Store,"Shop no/ 03 furnace Chowk, madina Colony Baghbanpura Lahore",SHALAMAR TOWN,"31.591683339161786,74.37891336170794"
124AST092012,Nazar and Sons Pharmacy,Shop no. 06 Mustafa center new Shadbagh Lahore,SHALAMAR TOWN,"31.596592470262504,74.34099546369441"
125BST102013,Iqbal Medical and general store,Main Chah Miran Road Kot Khawaja Saeed Lahore,SHALAMAR TOWN,"31.589397023941018,74.35439535397997"
126AST092012,Al-Razaq Medicine,Basement Razzaq Trust Hospital 196-G.T road Baghbanpura Lahore,SHALAMAR TOWN,"31.581064,74.374575"
127BST102012,Qandhari Medical and General Store,162-Main Road Chah Miran Lahore,SHALAMAR TOWN,"31.588432713753264,74.34841397261086"
128AST092014,Medix Pharmacie,"115-SE 3R, Shalimar Link road",SHALAMAR TOWN,"31.56957765687421,74.38081380317496"
129AST092012,Jamil Medical Store,198-B Kashmir Park Baghbanpura Lahore,SHALAMAR TOWN,"31.6069604,74.3537703"
130BST102012,Chand Medical Store,Furnas Chowk Shalimar Town Lahore,SHALAMAR TOWN,"31.591952737951615,74.37922182865682"
131AST092012,Ghani Pharmacy,"Street no. 12 Rehman Park, Sheller Chowk Baghbanpura",SHALAMAR TOWN,"31.60204046370107,74.37603431061429"
132AST092012,Emaan Medical Store,"Shop no. 01, opposite Shalimar Hospital Shalimar link Road lahore",SHALAMAR TOWN,"31.57430590290564,74.38122946571924"
133AST092012,Ali Pharma Traders,252 Amir Road Shadbagh Lahore,SHALAMAR TOWN,"31.599245563205187,74.3411218440742"
134BST102012,Imran Medical Store,"House no.53 Block 2B, China Scheme Gujjar Pura Lahore",SHALAMAR TOWN,"31.603267315093674,74.36062752395601"
135BST102012,Nizamian Medical and general store,Chowk Shawala Haq Nawaz road Baghbanpura Lahore,SHALAMAR TOWN,"31.584186342519924,74.36852240644282"
117BST102012,Khan Medical Store,"Shop no. 01, chowk Naeema Naseerabad Baghbanpura Lahore",SHALAMAR TOWN,"31.58897362540225,74.39776345231522"
137AST102013,Minhaj Medical Store,Near Govt Boys High School Amir Road Shadbagh Lahore,SHALAMAR TOWN,"31.603527599779547,74.34209903184744"
138BST102013,Awais Medical Store,Shop No. 178 Amir Road Shadbagh Lahore,SHALAMAR TOWN,"31.599459101987236,74.34143707460498"
139BST102013,Madina Medical Store,Main Bazaar Sohuwari Link Road Lahore,SHALAMAR TOWN,"31.573477423679357,74.38171337499547"
140AST092013,Total care Pharmacy,21-C Shalimar Link Road Mughalpura Lahore,SHALAMAR TOWN,"31.575584277757773,74.37799072824662"
141BST102013,Abdul Rehman Medical n General Store,"Al-Makkah Chowk Khursheed Park, Bhaghatpura Lahore",SHALAMAR TOWN,"31.607401,74.355228"
142AST102013,Makki Madni Medical store,Jinnah Park Sultanpura Lahore,SHALAMAR TOWN,"31.582371,74.341928"
143BST102013,Al-Hassan Medical and general store,"Afzal Town, Bhaghatpura new Shadbagh Lahore",SHALAMAR TOWN,"31.60061726403254,74.35800809993934"
144BSt102013,Rizwan Medical store,Haq Nawaz Road Main Bazaar Baghbanpura Lahore,SHALAMAR TOWN,"31.583597656320222,74.37791543873877"
145AST092013,Hamza Pharmacy,New Abadi Multani Colony Sheller Chowk Lahore,SHALAMAR TOWN,"31.59731389437116,74.37759448069389"
147BST102013,F.K medicine Company,Shop no. 66/23-E Akbar Road lahore Katchupura Lahore,SHALAMAR TOWN,"31.585855871720177,74.33816476652794"
148AST102013,Salah-u-din Pharma,"Kotli peer Abdul Rehman, Rasheedpura Lahore",SHALAMAR TOWN,"31.578874608907647,74.39375179183546"
149BST102013,Arshad Medical and general Store,"House no. 11, Sahar Road Baghbanpura Lahore",SHALAMAR TOWN,"31.586246,74.386618"
1841X77,Tahir Medicose.,"Shop No.1, Iqbal Road, Chah Miran Lahore",SHALAMAR TOWN,"31.585354721117067,74.34796819135208"
26B72,M/S Awais Pharma.,"Sheller Chowk College Road, Baghbanpura, Lahore",SHALAMAR TOWN,"31.58757013103656,74.37498340337133"
22778Disp,"M/S Bismillah Medical Store,",10 Sultanpura Lahore,SHALAMAR TOWN,"31.58126452037294,74.3434450558602"
26258D,M/S Five Star Medical and General Store.,"Shop No.1, Ashraf Park, Iqbal Road, Chah Miran Lahore",SHALAMAR TOWN,"31.585300648764306,74.34792931859295"
23657,"M/S Bhai Jan Sardar Medical and General Store,.","Pak. Nagar, Akram Road, Police Station Misri Shah Lahore",SHALAMAR TOWN,"31.58312148736619,74.33884887112757"
23672D98,M/S Shahbaz Medical Store.,"Ghoray Shah Road, Near Darbar Ghoray Shah Lahore",SHALAMAR TOWN,"31.583477714453213,74.35002012007486"
117185D,"M/S Chaudhry Medical Store,","Qamar Market Rehmatpura, Sher Shah Road, kot Kahwaja Saeed Lahore",SHALAMAR TOWN,"31.589928035988333,74.36142768696237"
3251B86,M/S Shahzad Medical Store.,", Muhammadi Mohallah Wassanpura, Lahore",SHALAMAR TOWN,"31.587978,74.338467"
955A76,M/S New Haji Pharmacy.,"Ashraf Park, Wassanpura, Lahore",SHALAMAR TOWN,"31.586306,74.333537"
008168B91,"M/S Hajwari Medical Store,","Sher Shah Road, New Shad Bagh Lahore",SHALAMAR TOWN,"31.60207398719222,74.338644860043"
43D09,Bismillah medical Store,Opposite Main gate Kot Khawaja Saeed Lahore,SHALAMAR TOWN,"31.594474431015808,74.35300187172255"
30612004,Khalil Medica Store,18-C G.T Road Baghbanpura Lahore,SHALAMAR TOWN,"31.581509688211437,74.37443171965337"
29182004,Mughal Medical Store,Iqbal road Shadbagh Lahore,SHALAMAR TOWN,"31.582680382899397,74.33651602659458"
467307,Servaid Pharmacy Pvt Ltd,Shop No. 275-D Ground Shadbagh Lahore,SHALAMAR TOWN,"31.59850110124557,74.33810411600585"
399106,Tariq Medical Store,"Daras Road, Hassan park, Baghbanpura Lahore",SHALAMAR TOWN,"31.578349,74.372502"
33062005,Dost Medical and General Store,Abubakar Street Shadbagh S Lahore,SHALAMAR TOWN,"31.604911548774407,74.34276510077375"
422306,Waleed medical n General Store,"38 Hammad Colony, Sher Shah Road Tokay Wala Chowk Shadbagh Lahore",SHALAMAR TOWN,"31.597703943626907,74.34526367825569"
1137200311,Al-syed Qaiser Medical and General Store,Altaf Park Sher Shah Road Shadbagh Lahore,SHALAMAR TOWN,"31.596689,74.349459"
98ART092011,Mir Medical Store,House no. 17/C Wassanpura Lahore,SHALAMAR TOWN,"31.591496294198734,74.33505117538975"
169311,Ayyaz Medical n General Store,Tezab Ahata Lahore,SHALAMAR TOWN,"31.562717,74.326675"
303209,Saleem Medical Store,Akbar Road Katchupura Laore,SHALAMAR TOWN,"31.58412231255246,74.33687504370623"
23099,Niaz medical Store,04 Amar road Shadbagh Lahore,SHALAMAR TOWN,"31.60390040519877,74.34231591937026"
219809,Fahad Medical Store,39 Amir Road Imam Bakhsh road Shadbagh Lahore,SHALAMAR TOWN,"31.602635154128375,74.35322884581406"
202309,Malik Medical Store,Amir Road near Jilla Chanianwala Shadbagh Lahore,SHALAMAR TOWN,"31.60163033094768,74.34179076983555"
61ACantt099,Nobel Medical Services,No. Se-3R-21D Opposite Shalimar hospital lahore,SHALAMAR TOWN,"31.574003194821024,74.38141912979823"
24722004,Umar Medical and general Store,Shop no. 116-E Chowk Purana Dhoobi Ghat Chah Miran Lahore,SHALAMAR TOWN,"31.588822331160383,74.35123205750543"
1807200311,Samar Pharmacy and General Store,Yaqoob Colony Bhogiwal Baghbanpura Lahore,SHALAMAR TOWN,"31.58962748516235,74.36926681208882"
204B87,Pharma Serve,Punj Pir road Katchupura Misri shah Lahore,SHALAMAR TOWN,"31.581806,74.347054"
470B90,Imran Pharmacy,7-B Shabnam center Shalimar Link road Lahore,SHALAMAR TOWN,"31.5752122,74.3810271"
20332004,Anum Medical Store,17-Shalimar Link Road lahore,SHALAMAR TOWN,"31.5755599706483,74.37955770523375"
3712002,"M/S Zahid Medical Store, .","Sheller Chowk Baghbanpura, Lahore",SHALAMAR TOWN,"31.597908320522137,74.37801133610051"
4252002,"M/S Hajwari Medical Store,","Sher Shah Road, New Shad Bagh Lahore",SHALAMAR TOWN,"31.5992292,74.3437335"
4612002,"M/S Bismillah Medical Store,","H.No.10-C, Street No.4, Singpura, Baghbanpura, Lahore.",SHALAMAR TOWN,"31.58411,74.363722"
4932002,"M/s Qasim Medical and General Store,","Shop No.3, New Bhogiwal Baghbanpura, Lahore",SHALAMAR TOWN,"31.584752424778667,74.36693565404961"
5182002,"M/s Ikhlaq Medical Hall,","Singhpura Baghbanpura, Lahore.",SHALAMAR TOWN,"31.579393741560168,74.36767218203845"
5192002,"M/s Azam Medicose,","Chowk Kot Khawaja Saeed near Tanga Stand, Lahore",SHALAMAR TOWN,"31.58980589155007,74.35463844623564"
5232002,"M/s Hafiz Medical and General Store,","Aamir Road Shadbagh, Lahore.",SHALAMAR TOWN,"31.607369,74.3553697"
5652002,"M/s Mooaz Medical Store,","near Bara Dari Chowk Main China Road, Gujjar Pura Scheme, Lahore.",SHALAMAR TOWN,"31.59414997986152,74.3570707806061"
6032002,"M/s Chaudhary Medical Store, e.","near Peer Sheikshaian Road Baghbanpura, Lahor",SHALAMAR TOWN,"31.593647304224856,74.36898804051242"
6042002,"M/s Saleem Medical Store,.","11-Saher Shah Road Shadbagh, Lahore",SHALAMAR TOWN,"31.59815187415514,74.34376763984889"
6692003911,"M/S Waheed Medical Store, .","Mian Taj Din Road, Shalimar Town, Baghbanpura, Lahore",SHALAMAR TOWN,"31.592188,74.338896"
7052003911,M/S Javaid Medicos,"Pak Nagae, Tezab Ahata Lahore",SHALAMAR TOWN,"31.583983295550393,74.33735582513509"
7452003911,"M/S Bukhari Medical Store,","Main Bazar Chah Miran, Lahore",SHALAMAR TOWN,"31.588175864460716,74.34558060662584"
8752003911,"M/S Mian Medical and General Store,","5-A/56, National Road, Usmanpura, Shalamar Town, Baghbanpura, Lahore.",SHALAMAR TOWN,"31.58642259353629,74.37151536971382"
8792003911,"M/S Imran Medicare,","Neewan Mohallah Chah Miran, Lahore.Property No.S-3898",SHALAMAR TOWN,"31.589707804608356,74.34802530781782"
9202003911,"M/S Ijaz Medical Store,","Near Do-Moria Pull, Faiz Bagh, Lahore.",SHALAMAR TOWN,"31.582128185908676,74.33299672720233"
9622003911,"M/S Pakistan Medicos,","5-GT Road, Faiz Bagh, Lahore.",SHALAMAR TOWN,"31.58219598786265,74.33290756109767"
10262003911,"M/S Jamshad Medicine Co,","Aziz Road, Wassanpura, Lahore",SHALAMAR TOWN,"31.587089894595884,74.3391693315405"
10752003911,"M/S Moon Medical Store,","Shop No.1, Chiragh Colony, Near Kashmir Road,Shadbagh, Lahore.",SHALAMAR TOWN,"31.592655961464285,74.36320780936705"
10842003911,"M/S Asif Medical Store,","Ahata Thanden Near Neelam Cinema, Chah Miran, Lahore",SHALAMAR TOWN,"31.586651176661178,74.34161726978586"
1.1762E+12,"M/S Wiz Pharma,","Property No.NEIII-I/B, Chaudhry Park-III, Shadbagh-II, Amir Road, Lahore.",SHALAMAR TOWN,"31.604284443307012,74.34253721653639"
11832003911,"M/S Hassan Medical Store,","Main Bazar Sahuwari Mughalpura, Lahore.",SHALAMAR TOWN,"31.575317217498093,74.3813707126249"
11882003911,"M/S Taiba Medical and General Store, .","237 GT Road, Baghbanpura, Lahore",SHALAMAR TOWN,"31.58170455669125,74.37543233613384"
11942003911,"M/S Chaudhry Medical Store,","Chah Miran Road, Kot Khawaja Saeed, Lahore.",SHALAMAR TOWN,"31.590521,74.35646"
12432003911,"M/S Al-Bqayyum Medical Store, .","169 GT Road, Baghbanpura, Lahore",SHALAMAR TOWN,"31.578613246720685,74.36756451012343"
12672003911,"M/S Al-Rahim Medical Store,","Main Bazar, Mian Muhammad Din Colony, Baghbanpura, Lahore.",SHALAMAR TOWN,"31.583516725345355,74.38027963722429"
12952003911,"M/S Ali Medical and General Store,","Shahi Road, Baghbanpura, Lahore.",SHALAMAR TOWN,"31.588665231844917,74.37813183786163"
14002003911,"M/S Hafiz Medical Store,","Dilawar Road, Ghoray Shah Lahore.",SHALAMAR TOWN,"31.58520174879869,74.34786141934161"
13702003911,"Madina Medical Store,","Main Bazar Chahmiran, Lahore.",SHALAMAR TOWN,"31.58874311607806,74.34876521048676"
14682003911,"M/S Al-Meraj Medical Store,","College Road, Baghbanpura, Lahore.",SHALAMAR TOWN,"31.58744292104644,74.37478125411126"
14692003911,"M/S Mahmood Medicos,","Chowk Shawala Baghbanpura, Lahore.",SHALAMAR TOWN,"31.583518290665687,74.36824396734447"
14842003911,"M/S Zahid Medical and General Store,","College Road, Baghabanpura, Lahore.",SHALAMAR TOWN,"31.5885445,74.3802041"
16102003911,"M/S Hasan Medical and General Store,","Usama Shaheed Road New Bhoghiwal Baghbanpura, Lahore",SHALAMAR TOWN,"31.593725042324277,74.36882197119748"
16192003911,"M/S Madni Medical Land General Store,","Shop No.3, Amir Road Shad Bagh, Lahore.",SHALAMAR TOWN,"31.607771201549852,74.34203349814642"
16432003911,"M/S Huzafa Medical Store,","79-D, Shalimar Link Road, Mughalpura (Mujahidabad) Lahore.",SHALAMAR TOWN,"31.569079800558065,74.38044378559623"
17442003911,"M/S Arshad Medical Store,","Chah Miran, Makhanpura, Lahore.",SHALAMAR TOWN,"31.59147378452182,74.34523636349178"
18512003911,"M/S Hafiz Medical and General Store,","Near Shafi Mughal Sultanpura, Lahore",SHALAMAR TOWN,"31.58245900663452,74.34510717007714"
19052003911,M/S Arif Medical Store,"H.No.79 Street No.2, Kot Khawaja Saeed Lahore.",SHALAMAR TOWN,"31.590006464934316,74.35749511808876"
20092004911,"M/S Zia Medical and General Store,","House No.1 Street No.5, Haji Qamar Din Park Kot Khawaja Saeed, Lahore.",SHALAMAR TOWN,"31.59240194761155,74.36189976381611"
2.0142E+12,M/S Rana Ali Medicos,"Sheller Chowk Baghbanpura, Lahore.",SHALAMAR TOWN,"31.597130260953065,74.37659226937016"
20842004911,"M/S Umer Medicine and General Store,","Chowk New Shad Bagh, Lahore.",SHALAMAR TOWN,"31.596590292250504,74.340783874555"
15932003911,Shoaib Medical Store.,"Crown Park Street GT Road, Baghbanpura, Lahore",SHALAMAR TOWN,"31.573842802453683,74.38114199714502"
21892004911,"M/S Rehman Medicos,","H.No.1- Street No.17, Newan Mohallah Chah Miran Lahore.",SHALAMAR TOWN,"31.59008544796657,74.34710241933334"
22172004911,"M/S Nadeem Drug Store,","Madina Chowk, Chohan Colony new Shadbagh, Lahore",SHALAMAR TOWN,"31.601749,74.350871"
22282004911,"M/S Usman Medical Store,",Gesha Angoori Park Lahore.,SHALAMAR TOWN,"31.580513131293372,74.38515049462913"
22802004911,"M/S Hamza Medical Store,","New Abadi Madhu Lal Hussain Road, Baghbanpura, Lahore.",SHALAMAR TOWN,"31.58502845717488,74.37575991186227"
22892004911,"M/S Mubashar Medical Store,","Chowk Hazoori Shah Chah Miran, Lahore.",SHALAMAR TOWN,"31.5883138292719,74.34525136893525"
23042004911,"M/S Sultan Pharmacy,","Al-Qadir Housing Scheme, Behind Shalamar Bagh, Mughalpura, Lahore.",SHALAMAR TOWN,"31.593852728493367,74.3820542608107"
23612004911,"M/S Haji Sadiq Medical Store,","Shop No.3, Near Do Moria Pul, Khair Din Road, Faiz Bagh, Lahore",SHALAMAR TOWN,"31.581795445470444,74.33225989169071"
23742004911,"M/S Tariq Ismail Medical and General Store,","Chowk Nizamabad Gujar pura, Lahore.",SHALAMAR TOWN,"31.584599,74.361413"
23762004911,"M/S Umar Medical Store,",Shah Noor Park Near Bara Dari Kot Khawaja Sazeed Lahore.,SHALAMAR TOWN,"31.592011,74.358639"
23942004911,"M/S Tariq Hospital Pharmacy,","Plot No.54, Khasra No.9682/6112, New Ellahi Road Misri Shah Lahore.",SHALAMAR TOWN,"31.562684,74.326657"
2.4342E+12,"M/S Rana Medicose, Govt.","College Road, Baghbanpura, Lahore.",SHALAMAR TOWN,"31.58789012319822,74.37596915454863"
256504911,"M/S.Umer Medical andG.Store,","Angoor Bagh Scheme,Baghbanpura,Lahore.,",SHALAMAR TOWN,"31.580635133415615,74.38473163718609"
259704911,M/S.Chaudhary Medical,"Store,H.No.48,Block B-III,Gujjarpura Scheme,Lahore.",SHALAMAR TOWN,"31.590651878641577,74.36078650992451"
259904911,"M/S.Irfan Medical and G.Store,.","Sher Shah Road,Scheme No.2,Shadbagh,Lahore",SHALAMAR TOWN,"31.59684927140439,74.34951721124665"
263904911,"M/S.Raheem Ddrug Store,","Taj Park,Amir Road,Shadbagh,Lahore.",SHALAMAR TOWN,"31.60831,74.340554"
359905911,"M/S.Mian Medical and General Store,","Shahi Road,Near Darbar Pir Shesham,Baghbanpura,Lahore.",SHALAMAR TOWN,"31.5875155,74.3715686"
360405911,M/S.Adil Medicose,",Shalimar Link Road,Lahore.",SHALAMAR TOWN,"31.574148448278244,74.38117102974064"
32092005911,"M/S Al Majeed Medical Store,","Main Faiz Bagh, Khair Din Road, Lahore.",SHALAMAR TOWN,"31.5814633,74.3333768"
32192005911,"M/S Bismillah Medical Store,","Amir Road Shad Bagh, Lahore",SHALAMAR TOWN,"31.601767903952457,74.34157013077971"
32252005911,"M/S Al-Madina Medical and General store,","Near Madina Chowk Lalazar Colony Bhaghatpura, Shadbagh Lahore",SHALAMAR TOWN,"31.601131632049885,74.35504765863669"
32632005911,"M/S Malik Medical Store,","Fazal Pura, Kot Khawaja Saeed, Lahore",SHALAMAR TOWN,"31.59034961060056,74.35589928995287"
33362005911,"M/S Shahbaz Medical Store,","Makhan Pura Road, Chah Miran Lahore.",SHALAMAR TOWN,"31.59257863072933,74.34447398642739"
34352005911,"M/S Awais Medical Store,","Main Bazar C-II Gujar Pura, Scheme Lahore",SHALAMAR TOWN,"31.59781081283359,74.36085263951828"
34652005911,"M/S Amjad Medical and General Store,","Shop No.3, Main Bazar Aamir Road, Shadbagh, Lahore",SHALAMAR TOWN,"31.60552429761523,74.34243219399548"
28122004,"M/s, Chaudhary Medical and General Store,","near Mosque Main Bazar Sirajpura Shalimar Town, Lahaore.",SHALAMAR TOWN,"31.589460467472392,74.35501287147268"
31752005911,M/S Al-Amin Pharmacy .,Chah Miran Road Faiz Bagh Lahore,SHALAMAR TOWN,"31.5814633,74.3333768"
32232005911,"M/S Umar Medical and General store,","Madina Colony Beside Shalamar Garden Baghbanpura, Lahore.",SHALAMAR TOWN,"31.592147830661393,74.38033239448116"
32262005911,"M/S Irshad Medical and General Store,","House No.11, Street No.11, Sahar Road Baghbanpura, Lahore.",SHALAMAR TOWN,"31.5794573,74.376318"
32502005911,"M/S Bismillah Medical Store,","192 Sheller Chowk Baghbanpura, Lahore",SHALAMAR TOWN,"31.59742750689324,74.37747192727156"
415106911,M/S Asad Medical and General Store,"Mian Muhammad Din Colony Street No.11, Shop No.3, Baghbanpura, Lahore",SHALAMAR TOWN,"31.592598935841757,74.36196855748422"
425006911,M/S Saeed Abid Medical and General Store,"Main Bazar Makhanpura, Madina Masjid Chah Miran Lahore",SHALAMAR TOWN,"31.59425215211549,74.34487645924688"
435006911,M/S Mobeen Medical and General Store,"Mehr Afzal Road,Club Chowk,Amir Road,Shad Bagh Lahore",SHALAMAR TOWN,"31.59505027365651,74.35585032566041"
1320032021,M/S RayVet International,"287-Q Block,Model Town,Lahore",GULBERG TOWN,"31.47091523634627,74.32842296018612"
1642002911,"M/S Chaudhry Medical Store,","Outside Ghulab Devi Hospital, Lahore.",GULBERG TOWN,"31.4834868385824,74.34104315895566"
2282002911,"M/S Asghar Medical Store,",Pindi Rajpootan Kot Lakhpat Lahore,GULBERG TOWN,"31.463553340795265,74.31855794601245"
43520021011,M/S Famous Enterprises,"1 Aziz Avenue Society Zafar Ali Road, Gulberg-V, Lahore",GULBERG TOWN,"31.483265,74.298352"
4592002911,"M/S Ashraf Medical Store,","Shop No.2, Gulab Devi Hospital Lahore.",GULBERG TOWN,"31.483691736542717,74.34137022096701"
5552002911,"M/s A and N, Pharmacy Kaleem Medical Centre,","Block –C, Model Town Ext; Lahore.",GULBERG TOWN,"31.4873892,74.3062561"
6002002911,"M/s Ishaq Medical Store,",Main Bazar Bibi Pak Daman Lahore.,GULBERG TOWN,"31.5638438,74.3361565"
6632002911,M/S Akram Medical and Supper Store,", 841/1 Q-Block, Model Town, Lahore",GULBERG TOWN,"31.4747038,74.3342404"
7.362E+11,"M/S Qureshi Medical Store,","F Block Market, Model Town, Lahore",GULBERG TOWN,"31.477833340582492,74.31889102033607"
8042003911,M/S Gulbergs Medical Hall,"Gulberg Market Gulberg-II, Lahore (Main Market Gulberg)",GULBERG TOWN,"31.52491898010508,74.34601882914818"
8862003911,"M/S Iftikhar Medical Store,","Shop No.5, Plot No.46,D-Block Market Near Mandar D-Block, Model Town Lahore",GULBERG TOWN,"31.4893117,74.316509"
8982003911,"M/S Farid Medical Store,","Pindi Stop Kot Lakhpat, Lahore.",GULBERG TOWN,"31.4612503,74.3283399"
9012003911,"M/S Medicos,","7 Link Road, Model Town, Lahore.",GULBERG TOWN,"31.4714955,74.3178781"
9322003911,"M/A Atta Medical Store,","Main Bazar, Madina Road, Gopal Nagar Gulberg-III, Lahore",GULBERG TOWN,"31.486867813475623,74.345534961969"
9672003911,"M/S Tauseef Medical Store,","Dilkusha Road, Opp, S. Block, Model Town, Extension, Liaqatabad, Lahore.",GULBERG TOWN,"31.468133961259973,74.33239027183015"
10042003911,M/S Wahid Medical Store,", 24-E, Main Market Gulberg-II Lahore",GULBERG TOWN,"31.5224314,74.3446565"
10252003911,"M/S Shahzad Medical and General Store,","Mohallah Khaipura, Near Nianwala Chowk Kot Lakhpat, Lahore",GULBERG TOWN,"31.46289654777414,74.33229032032871"
10442003911,"M/S Every Body Medical Store,","37 Allama Iqbal Road, Lahore.",GULBERG TOWN,"31.564491866377818,74.34594966102681"
1.0992E+11,"M/S International Brands Pvt, Ltd,","52-53-N, Gulberg-II, Lahore.",GULBERG TOWN,"31.522958460854476,74.3561401252768"
11582003911,"M/S Ghani Medical and General Store,","Ghalib Market Gulberg-III, Lahore.",GULBERG TOWN,"31.5126624,74.353743"
1.1912E+12,"M/S Azeem Medical Store,","Near Grid Station, Ghari Shahu, Mughalpura, Lahore.",GULBERG TOWN,"31.563509654568268,74.34704017136283"
12112003911,"M/S Malik Medical and General Store,","Main Bazar, Macca Colony Gulberg-III, Lahore.",GULBERG TOWN,"31.499228134850974,74.34955839532245"
12452003911,John Medical Store,",186 Shikander Road, Upper Mall, Lahore.",GULBERG TOWN,"31.544300117859326,74.35894550609689"
13563003911,"M/S Attar Medical Store,","Ayub Road Old Abadi Mohallah Araiyan Kot Lakhpat, lahore.",GULBERG TOWN,"31.46568785554093,74.3371455407763"
1.3602E+12,"M/S Popular Medical Service,","4 Mughalpura Road, Gari Shahu, Lahore",GULBERG TOWN,"31.563872234282172,74.34726025992015"
13732003911,M/S Nadeem Medical Store,",H.No.387,St.No.3,Gopal nagar. Gulberg , Lahore",GULBERG TOWN,"31.48684582630642,74.3456438000576"
13872003911,"M/S Askari Medical and General Store,","Shop No.2, Askari Shopping Centre, Walton Road, Gulberg-III, Lahore.",GULBERG TOWN,"31.4985537,74.3349655"
13942003911,"M/S Shamim Pharmacy,","Firdous Market Gulberg-III, Lahore.",GULBERG TOWN,"31.5037692,74.3456125"
1.4082E+11,"M/S Well Pharmaceuticals,","234-N, Model Town, Extension, Lahore.",GULBERG TOWN,"31.47564928285359,74.31241142518515"
14292003,"Jarjaish Medicose,","FCC Colony, Gulberg.Lahore,",GULBERG TOWN,"31.51662414961872,74.33851187514347"
14812003911,"M/S Malik Pharmacy,","170-Bank Square Market C-Block, Model Town, Lahore.",GULBERG TOWN,"31.488755607428697,74.32552762307819"
14832003911,"M/S Safdar Medical Hall and General Store,","Al-Abbas Market Main Bazar, Liaqiatbad Kot Lakhpat, Lahore.",GULBERG TOWN,"31.4695369,74.3321821"
15902003911,"M/S Chaudhary Medical Store,","Faroze Street, Ghari Shahu, Lahore.",GULBERG TOWN,"31.5641674,74.3478228"
15912003911,"M/S Shahid Medical C entre,","B Block, 393/14, Commercial Market Faisal Town, Lahore",GULBERG TOWN,"31.478759341632543,74.30448279858489"
1.6062E+11,"M/S ARK International ,","Plot No.5-77,R-144/34-A,Ghous ul Azam colony, Gulberg -11,Lahore.",GULBERG TOWN,"31.505137,74.3323001"
17272003911,"M/S Muneeb Medical and General Store,","Muhammadi Mohallahi Pindi Rajputan Kot Lakhpat, Lahore (Khasra No.261)",GULBERG TOWN,"31.46506714976025,74.32814304163635"
17592003911,"M/S Roomi Medical Store,","Commerical Market M Block, Gulberg-III, Lahore.",GULBERG TOWN,"31.492137547939542,74.3380663042684"
1.7602E+11,"M/S Glaxo Smith Klline Pakistan Ltd,","(Formerly Glaxo Welcome Pakistan Ltd, 27-Industrial Area, Kot Lakhpat, Lahore.",GULBERG TOWN,"31.454703725481487,74.32490220374804"
18272003911,"M/S Mauzam Medical Store,","153 D Block Market Model Town, Lahore.",GULBERG TOWN,"31.4893117,74.316509"
1.8352E+11,M/S Nayab and Danish Medical Store,"Near Butt Tent Service Kashmiri Mohallah Near Liaqat abad Bazar, Kot Lakhpat, Lahore.",GULBERG TOWN,"31.46465830313186,74.332441348354"
1.8372E+12,M/S Alpha Pharma,"122-F, Model Town, Lahore.",GULBERG TOWN,"31.50027391039963,74.32594651337631"
18722003911,"M/S Hussain Drug Store,","18 Main Bazar Canal Park, Gulberg-II, Lahore.",GULBERG TOWN,"31.537514969122206,74.34404697888226"
1.8922E+12,M/S Vetnocare Pharmaceutical International,"113/3- Allama Iqbal Road, Ghari Shahu Lahore.",GULBERG TOWN,"31.555962,74.3519421"
19712004911,"M/S Zahid Medicos,","11-M, Gulberg-III Police Station, Naseerabad, Lahore.",GULBERG TOWN,"31.4902763,74.3379757"
1.9982E+11,M/S Impact Pharma,"18-Meraj Park Mumtaz Street Ghari Shahu, Lahore.",GULBERG TOWN,"31.5621168,74.343257"
20362004911,"M/S Al-Hamad Medical Store,","Shop No.1-4-C/1, Clinic Centre Faisal Town, Lahore.",GULBERG TOWN,"31.477380161953402,74.30682344206039"
2.0572E+12,M/S Khawaja Brothers .,"515-A, Ground Floor Faisal Town, Lahore",GULBERG TOWN,"31.48218025121987,74.29832994404462"
2.1122E+11,"M/S A H Medicose,","Wazir Ali Road.Upper Mall, Lahore.",GULBERG TOWN,"31.54054042532563,74.3574377223021"
2.2222E+12,"M/S Hayat Sons Medicos,","Shop No.1, 36-F, Gulberg- Lahore.",GULBERG TOWN,"31.526680044213574,74.34510864138355"
2.2852E+12,M/S Seven Eleven Chemist,"Shop No.28, Plot No.24-D, Sham Arcade Civic Centre New Garden Town, Lahore.",GULBERG TOWN,"31.50076684163945,74.32047887819678"
2.3072E+12,"M/S Fine Medicare,","59 Allama Iqbal Road, Lahore.",GULBERG TOWN,"31.5613178,74.3472227"
2.3182E+11,M/S Ahbab Pharma Distributors,", 111-K, Gulberg-III, Lahore.",GULBERG TOWN,"31.499862096632047,74.35642508048677"
