License No,Store Name,Store Address,Town Name,Location
69BNT102011,M/S Awami Medical Store,"H#15, Block-4, Sector C-II, Green Town, Lahore",NISHTAR TOWN,"31.43748521429094,74.29814240669947"
161603,M/s Ayyub Medical Store,"Kacha Road, Kahna Nau, Lahore",NISHTAR TOWN,"31.36847721045259,74.36429943952729"
418406,M/s Azam Medcial Store,"307-A Sheraz Town, Lahore",NISHTAR TOWN,"31.427180354125063,74.29011057682575"
67703,M/s Aziz Medical Store,"Ward No.6, Ferozepur Road, Opp, RHC Kahna Nau, Lahore",NISHTAR TOWN,"31.373648,74.365774"
9BNT0910,M/s Bari Medical and General Store,"House No.375 Hassan Block, Near, Chaudhry Chowk, Nishtar Colony, Ferozepur Road, Lahore",NISHTAR TOWN,"31.42071531776493,74.36782502917099"
118BNT102012,M/s Barkat Medical Store,"Main Bazar , Youhanabad, Near Chand General Store, Ferozepur Road, Lahore",NISHTAR TOWN,"31.412204292009015,74.36015535553145"
152BNT102012,M/s Barkat Medical Store,"House No.519, Block No.3, Sector C-II, Bagrian Green Town, Lahore",NISHTAR TOWN,"31.43874739190945,74.30188698224869"
147BNT102012,M/s Bhutta Medical Store,"Nawaz More, Green Town Lahore",NISHTAR TOWN,"31.42491465873983,74.29865928498843"
108903,M/s Bilal Medical Store,"Near Jamia Mosque Khajoor Wali, Kamahan, Lahore",NISHTAR TOWN,"31.44649692587643,74.39040304902659"
120703,M/s Hamdam Medical Store,"Opp:Fakhar Call Point, Left Side, Near Imran Tent Service, Old Kamahan Road , Lahore",NISHTAR TOWN,"31.44811961308504,74.35542860993345"
425206,M/s Bilal Medical Store,"Modern Medicine Market , Near Gate No 1, Lahore General Hospital, Ferozepur Road",NISHTAR TOWN,"31.4574325,74.3512188"
61BNT102010,M/S Bilal Medical Store,"Bilal Block, Main Bazar, Nishter Colony, Ferozepur Road, Lahore",NISHTAR TOWN,"31.42200465096322,74.35946847056576"
116ANT9,M/s Bilal Medical Store,"Awan Market, 17-KM Ferozpur Road, Ismail Nagar",NISHTAR TOWN,"31.43493860717779,74.36418846760007"
149ANT92012,M/S Bilal Pharmacy,"Shop No. 491, 3-C-1, Umer Chowk, Township, Lahore",NISHTAR TOWN,"31.44534734878382,74.30700000851135"
190103,M/s Bismillah Medical Store,"New Ahsan Block, Shop #1, Main Bazar, Nishtar Colony, Lahore",NISHTAR TOWN,"31.420678648824197,74.36403334601329"
44BNT102010,M/s Bismillah Medical Store,"Plot No.1 Block 2, Sector D-1, Omer Chowk, Township Lahore",NISHTAR TOWN,"31.44428114981713,74.30639141983143"
50BNT1010,M/s Bismillah Medical Store,"Shop No.1, St. No.1 Near Fresh and Fine Bakery Kacha Jail Road, Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.451220616028184,74.34657353892858"
57ANT910,M/S Bismillah Pharmacy,"Shop No.1, Khanoharni Road, 32-KM, Ferozepur Road, Lahore",NISHTAR TOWN,"31.30715949828728,74.39676081336364"
397006,M/s Burhan Medical Store,"Canal Bank, Kamahan Road, Chungi Amar Sidhu, Lahore",NISHTAR TOWN,"31.449243,74.355459"
148ANT92012,M/S Care Well Pharmacy,"17-Km, Ferozepur Road, Ashiyana Kamahan Road, Lahore",NISHTAR TOWN,"31.4393183684234,74.3554119879066"
268004,M/s Chand Medical and General Store,"Shop No.2, Mehar Market , Ittehad Park, Kamahan Road , Bank Stop Ferozepur Road",NISHTAR TOWN,"31.4397623,74.3565507"
329905,M/s Chaudhry Medical Store,"Main Chowk, New jail Road, Chungi Amar Sidhu, Lahore",NISHTAR TOWN,"31.451176013261417,74.3463977747257"
262309,M/s Chaudhry Medical Store,"331/C-II, Block No. 5, Township, Lahore",NISHTAR TOWN,"31.43413449101389,74.29618649756702"
333205,M/s Daud Medical and General Store,"Shami Park, F-I Daud Market, Chungi Amer Sidhu Purana Kamahan Road, Lahore",NISHTAR TOWN,"31.448377363765104,74.35478460332115"
40BNT102010,M/s Doctors Medical Store,"Near New Emergency, Lahore General Hospital, Ferozepur Road, Lahore",NISHTAR TOWN,"31.457389795163895,74.35064705477835"
80BNT102011,M/s Ehsan Medical Store,"Kacha Kamahan Road, Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.448707164963935,74.35528258025849"
120BNT102012,M/S Eithisham Medical Store,"Main Bazar Awan Market, Ferozepur Road, Lahore",NISHTAR TOWN,"31.433516276660182,74.36519054738687"
175603,M/s Essa Medical Store,"Street No.2, Umar Farooq Road, Near Aziz Memorial School Ittehad Park, Bank Stop, Ferozepur Road, Lahore",NISHTAR TOWN,"31.438141840663835,74.36289439029056"
327205,M/s Faheem Medical Store,"Khalid Aziz Medical Centre, Near 1st Gate of Lahore General Hospital Ferozepur Road",NISHTAR TOWN,"31.456647321146065,74.35217933629856"
48BNT102010,M/s Faizan Medicose,"Shop No.1, 3/Nil Sector-D-II Green Town, Lahore",NISHTAR TOWN,"31.435948907109783,74.31023529768387"
109BNT102012,M/S Fam Pharma,499-2-C-1 Township Lahore,NISHTAR TOWN,"31.44490916952085,74.30010014562227"
387806,M/s Fatima Medical and General Store,"Near LGH, Ferozepur Road, Lahore",NISHTAR TOWN,"31.457349442270694,74.35113189152497"
