Division Name,District Name,Tehsil Name ,Mauza Name ,Service Centre Type,
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MALIK WAL,Vety. Hospital,A
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MALIK WAL,Mobile Vety. Dispencery,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MALIK WAL,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,HASALANWALA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,LASURI KALAN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PAHRIAN WALI,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PAHRIAN WALI,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,CHAK JANO KHURD,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,HEGAR KHURD,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,CHAK SAIDA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,CHARANWALA, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,HELAN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PHALIA AMIR,Vety. Hospital,B
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PHALIA AMIR,Mobile Vety. Dispencery,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PHALIA AMIR,A.I. Centre,A
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,RAIKE,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,DHAUL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,THATHA KHAN MOHD, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,QADIR ABAD,Vety. Hospital,B
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,QADIR ABAD,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,BHEKO,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,BHOIA HASSAN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,DHUNI KALAN, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,BHEROWAL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,KOT SHER MOHD,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,BURJ BAKHT, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,NARANG,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,JOKALIAN,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,JOKALIAN,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,CHHANNI GHANIA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,RANMAL SHARIF,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,SAHNPAL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,PINDI KALU,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,DOGIL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,THATHI MURID, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,RANDIALI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,PHALIA TEHSIL,DHARIKAN KALAN, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK BASAWA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,MONG,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,PINDI BAHA-UD-DIN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,SHAHEEDAN WALI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO.51 MANDI BAHA-UD-DIN,Vety. Hospital,A
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO.51 MANDI BAHA-UD-DIN,Mobile Vety. Dispencery,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO.51 MANDI BAHA-UD-DIN,A.I. Centre,B
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,KATHIALA SYEDAN,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,LAKHNEWALA, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,SOHAWA JAMLANI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,MANGAT,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,BHIKKI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO.12, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHHIMMUN, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,AHLA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,DHOK NAWANLOK,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,DHOK KASIB, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,SIVIAH,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO1,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,RASUL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHILLIAN WALA,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHILLIAN WALA,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,MAUJIAN WALI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,KHATYALA SHEIKHAN,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,CHAK NO.40,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,MIAN WAL,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,RATTOWAL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MANDI BAHAUDDIN TEHSIL,NAIN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,BAHUWAL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,CHAK RAIB,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,BADSHAHPUR,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,HARIA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,PIND MAKO, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MONA DEPO,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,WARA ALAM SHAH, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MAHJI,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,GOJRA,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,BOSAL,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,RUKKAN,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,RUKKAN,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,CHAK NO.16, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,CHAK NO.42,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,PINDI RAWAN,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,SANDA, Vety. Dispensary,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,GARH,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MIANA GONDAL,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,MIANA GONDAL,A.I. Sub-Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,WARYAIT,Vety. Centre,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,BARMUSA,Vety. Hospital,C
GUJRANWALA,MANDI BAHAUDDIN,MALIKWAL TEHSIL,DAFAR,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,SHADIWAL,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KOTLI LOHARAN,Vety. Hospital,B
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KOTLI LOHARAN,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,BALA LOCH,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,MARAKEWAL, Vety. Dispensary,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,MARALA,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,MARALA,A.I. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KULL,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,GONDAL,Vety. Hospital,B
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,GONDAL,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,GONDAL,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,CHAK PHOKAIAN,A.I. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KHAROTA,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,CHAPRAR KHAS,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,CHAK SULEHRIAN,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KUNDAN PUR,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,DALUWALI,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,PALURA KALAN,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KAMAN WALA, Vety. Dispensary,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,SIALKOT,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,CHARIND,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,PACCI_KOTLI,A.I. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,PARAG PUR,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,VARYO,Vety. Hospital,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,RASUL PUR,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,BEHLOLA,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,BHAGO WAL,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,LANGRIALI,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KAKEWALI,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,RAJA HARPAL,Vety. Hospital,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KAPURO WALI,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KAPURO WALI,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KHALIL PUR,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,DHAN KOT, Vety. Dispensary,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,KACHHI MAND,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,BOKAN,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,UGGOKI,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,UGGOKI,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,JORIAN KALAN,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,ADALAT GARH,Vety. Centre,C
GUJRANWALA,SIALKOT,SIALKOT TEHSIL,BUTTAR,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,GANGAL,Vety. Hospital,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,MAIRAJKE,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,CHAUBARA,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,PINDI BHAGO,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,CHARWAH,Vety. Centre,C
Lahore,Kasur,PATTOKI TEHSIL,HABIB-ABAD (BENI-BAREHMNAN), Vety. Dispensary,B
GUJRANWALA,SIALKOT,PASROOR TEHSIL,BADYANA,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,BADYANA,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,KHANANWALI,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,GADGOR,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,GADGOR,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,CHAWINDA,Vety. Hospital,B
GUJRANWALA,SIALKOT,PASROOR TEHSIL,MUNDEKE BERIAN,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,KAMAL PUR,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,KAMAL PUR,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,BAN BAJWAH,Vety. Hospital,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,PASRUR,Vety. Hospital,A
GUJRANWALA,SIALKOT,PASROOR TEHSIL,PASRUR,Mobile Vety. Dispencery,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,PASRUR,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,SAUKANWIND,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,UDDO FATAH,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,DHODAH, Vety. Dispensary,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,TAKHAT PUR,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,SUJOO  WALI,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,BASI WALA,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,KALAS WALA,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,SABAZ KOT,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,BAGHIARI,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,KINGRAH,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,KHAN PUR SAYYIDAN,Vety. Hospital,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,TALWANDI DIALPUR,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,MALI PUR,Vety. Centre,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,JODHALA,Vety. Hospital,C
GUJRANWALA,SIALKOT,PASROOR TEHSIL,JODHALA,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,PIRO CHAK,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,JAMKE,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,JAMKE,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,GHOENKE,Vety. Hospital,B
GUJRANWALA,SIALKOT,DASKA TEHSIL,SEHJO KALA,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,KOT KARAM BUKHSH,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,RAJA GAHMAN,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,DASKA KHAS,Vety. Hospital,B
GUJRANWALA,SIALKOT,DASKA TEHSIL,DASKA KHAS,Mobile Vety. Dispencery,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,DASKA KHAS,A.I. Centre,A
GUJRANWALA,SIALKOT,DASKA TEHSIL,ADAMKE,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,BOREKE,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,AKBAR,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,SIAN,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,VIR WALA,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,SALHOKE,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,DHANDAL,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,WADALA SINDHWAN,Vety. Hospital,B
GUJRANWALA,SIALKOT,DASKA TEHSIL,SATRAH,Vety. Hospital,B
GUJRANWALA,SIALKOT,DASKA TEHSIL,SATRAH,A.I. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,BHAGAT PUR,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,BUDHA GORAYA,Vety. Hospital,B
GUJRANWALA,SIALKOT,DASKA TEHSIL,BUDHA GORAYA,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,BUDHA GORAYA,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,MALO MAHI,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,MALO MAHI,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,KOREKE,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,BOGRE,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,LORHKE,Vety. Hospital,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,LORHKE,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,BAMBAN WALA,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,KOT GOINDKE,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,OTHIAN,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,KUNDAN SIAN, Vety. Dispensary,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,GOJRA, Vety. Dispensary,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,KOPRA,Vety. Centre,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,RANDHEER,Vety. Hospital,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,HABIB PUR,Vety. Centre,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,JETHIKE,Vety. Centre,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,KOT DINA,Vety. Hospital,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,SAHU WALA,Vety. Centre,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,SAMBRIAL,Vety. Hospital,A
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,SAMBRIAL,Mobile Vety. Dispencery,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,SAMBRIAL,A.I. Centre,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,ROHELA,Vety. Centre,C
GUJRANWALA,SIALKOT,DASKA TEHSIL,KHAROLIAN (ASLAM PUR), Vety. Dispensary,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,MALKHAN WALA,Vety. Centre,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,BEGO-WALA,Vety. Centre,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,BHOPAL WALA,Vety. Centre,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,BHOPAL WALA,A.I. Sub-Centre,C
GUJRANWALA,SIALKOT,SAMBRIAL TEHSIL,DHILLAM,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,CHAMANAN KALAN,Vety. Hospital,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,NAGWAL,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,DARMAN,Vety. Hospital,B
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,DARMAN,A.I. Sub-Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,LESAR KALAN,Vety. Hospital,B
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,LESAR KALAN,A.I. Sub-Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,CHAMRIAL,A.I. Sub-Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,DAILRA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,KANJROR,Vety. Hospital,B
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,MADOOKE,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,LANGAH,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,BISTAN,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,MALAGAR PUR,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,KOT NAINAN,Vety. Hospital,B
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,KOT NAINAN,A.I. Sub-Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,PHAGWARI HINDWAN,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,SOJOWAL,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,NARGAL,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,SHAH PUR JATTAN,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,SOKHA BECHARAGH, Vety. Dispensary,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,BHERI KHURD,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,PHULWARI,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,RIBA KALAN,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,FATEH PUR KALAN,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,CHATRANA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,SHAKAR GARH,Vety. Hospital,A
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,SHAKAR GARH,A.I. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,KHANOWAL,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,MARYAL,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,KOTLI JATTAN,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,NOOR KOT,A.I. Sub-Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,KALLA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,BARA MANGA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,WALI PUR BURA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,MASROOR,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,AKHLAS PUR,Vety. Hospital,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,AKHLAS PUR,A.I. Sub-Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,MANGRI,A.I. Sub-Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,MUSA PUR SAINIAN,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,DODHO CHAK,Vety. Hospital,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,MAINGRA,Vety. Hospital,B
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,TOLA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,RAMBRI,Vety. Hospital,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,RAMBRI,A.I. Sub-Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,GUMTALA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,DHALA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,GHONA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,MANDIALA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,BOAA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,BABRAL, Vety. Dispensary,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,SHAH PUR JANJORA,A.I. Sub-Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,MURAIDA TARKHANA,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,NATLAH KHURD,Vety. Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,BUDHU TARKHANA,A.I. Sub-Centre,C
GUJRANWALA,NAROWAL ,SHAKARGARH TEHSIL,SARJAL,Vety. Centre,C
